val_loss,val_mIoU,val_F1,val_OA,epoch,step,train_loss,train_mIoU,train_F1,train_OA
0.8538836240768433,0.7777591234525483,0.8716421406283754,0.856892340322578,0,836,,,,
,,,,0,836,1.0905801057815552,0.6870701792411049,0.8128325247194708,0.8099694864171735
0.8702853322029114,0.7780264464427807,0.8710174433887541,0.8573276713428156,1,1673,,,,
,,,,1,1673,0.893783688545227,0.7643185459576584,0.8651280720008941,0.8593354192857888
0.7263436913490295,0.8142801724734987,0.8946904803592227,0.8941702075690078,2,2510,,,,
,,,,2,2510,0.8400074243545532,0.7805300341185598,0.8755771564146603,0.8719583940766658
0.7363327145576477,0.8114367999905561,0.8930235208357044,0.8932138157575813,3,3347,,,,
,,,,3,3347,0.7855725288391113,0.7976620533900258,0.8862197285318144,0.884652253644763
0.745007336139679,0.8096707462581124,0.8911938509721636,0.8911463393690384,4,4184,,,,
,,,,4,4184,0.7585834264755249,0.8031368992186835,0.8896225608599762,0.8900438133531335
0.7046070694923401,0.822595265738084,0.8999032890584516,0.9008819328519558,5,5021,,,,
,,,,5,5021,0.7219922542572021,0.8174200297216976,0.8982949599414962,0.8991952813735031
0.7337568402290344,0.8149837566723054,0.8953047981256755,0.8933074591760632,6,5858,,,,
,,,,6,5858,0.6984593272209167,0.8266604076325661,0.9039002638287194,0.9045848773832893
0.7333908677101135,0.8107497623991564,0.8931448193849942,0.8900783524317367,7,6695,,,,
,,,,7,6695,0.6766488552093506,0.8325798881401845,0.9073779652271874,0.9085946526752399
0.7415311336517334,0.8116930007709152,0.8935990119361239,0.889731324175872,8,7532,,,,
,,,,8,7532,0.6606569290161133,0.8387587046668645,0.9111516326785434,0.912420654504773
0.7157491445541382,0.8172717628491692,0.8968030090306657,0.894678763104339,9,8369,,,,
,,,,9,8369,0.6488316655158997,0.8436638586454619,0.9140534654569503,0.9156809911233046
0.7018554210662842,0.8277229533851618,0.9030008441276316,0.9018272540206334,10,9206,,,,
,,,,10,9206,0.6395326852798462,0.8460183139462781,0.9154599621842108,0.917394401380659
0.7115234136581421,0.8257783611677212,0.9020272092112374,0.8997279495341872,11,10043,,,,
,,,,11,10043,0.6308985948562622,0.8487546105356293,0.9171115245909786,0.9189140044660115
0.7177057862281799,0.8165852073297231,0.8967453866396209,0.894252848055094,12,10880,,,,
,,,,12,10880,0.6253907680511475,0.8510443807888877,0.9184239632890687,0.9199633931981828
0.7207215428352356,0.8202085439286181,0.8987225212092824,0.8958647311002027,13,11717,,,,
,,,,13,11717,0.619590699672699,0.8524358582296951,0.9192768565445547,0.9214937371443325
0.712171733379364,0.8239171817002704,0.900843730280444,0.8984566707251829,14,12554,,,,
,,,,14,12554,0.6187112331390381,0.852602979824711,0.9193484623141467,0.9217735961219691
0.7595093250274658,0.8125038983291114,0.8942156252190017,0.8873855878589378,15,13391,,,,
,,,,15,13391,0.6943522691726685,0.827041714081077,0.9041726353108451,0.9051320476946261
0.7469955086708069,0.8118478792015903,0.8928704279331623,0.891461319468352,16,14228,,,,
,,,,16,14228,0.6771999597549438,0.832375909309745,0.9074418497135035,0.9083448294316632
0.7620497941970825,0.817849101626878,0.8964992422825298,0.8881751371281711,17,15065,,,,
,,,,17,15065,0.659792959690094,0.8391427054680634,0.9114953947320921,0.9126589330997462
0.7631790637969971,0.8123004753264704,0.8941077094386474,0.8856514833943977,18,15902,,,,
,,,,18,15902,0.6359375715255737,0.8465169353467182,0.9158110320443547,0.9183770043582465
0.7338574528694153,0.8198349057825892,0.8980599686376627,0.895782120237396,19,16739,,,,
,,,,19,16739,0.6333456635475159,0.8480727769798266,0.9167134378429072,0.918667817595934
0.7330909967422485,0.8147692687641813,0.8956142084137693,0.8932726348950307,20,17576,,,,
,,,,20,17576,0.6366284489631653,0.8464361430968875,0.9156834462395164,0.9179264524563818
0.741447925567627,0.822731925924691,0.9000506037916403,0.8958312144753664,21,18413,,,,
,,,,21,18413,0.6116883158683777,0.8541536640323107,0.9203144358329652,0.9232233149313805
0.7329047322273254,0.8220746590497635,0.8993449300908496,0.8991144810384625,22,19250,,,,
,,,,22,19250,0.6149715185165405,0.8535423003779032,0.9199541696512314,0.922289216363241
0.7121822237968445,0.8264878001368254,0.9020116367631015,0.9014490366833238,23,20087,,,,
,,,,23,20087,0.6043035387992859,0.8565692572289441,0.9217019315909372,0.9251058520656544
0.7757579684257507,0.8020149838396626,0.8878869236314465,0.8817719975480558,24,20924,,,,
,,,,24,20924,0.5937895178794861,0.8602958102188936,0.9239203409519338,0.92720063533302
0.7411926984786987,0.8201505858590117,0.8979298042063398,0.8963424276420611,25,21761,,,,
,,,,25,21761,0.5923998355865479,0.8617421497544637,0.9247598783008797,0.9278889365191046
0.7172718644142151,0.8243772903478735,0.9007259560226393,0.9006333427539595,26,22598,,,,
,,,,26,22598,0.587363600730896,0.8629078018864602,0.9254532660669463,0.9291537245618726
0.71818608045578,0.8259680634703057,0.9019207295785655,0.9012263288678398,27,23435,,,,
,,,,27,23435,0.5798219442367554,0.8663361159416769,0.9275117577337564,0.9301621839786138
0.7315126061439514,0.8205098268795892,0.898684374203279,0.897983489617504,28,24272,,,,
,,,,28,24272,0.5752896070480347,0.8661577898480244,0.9274111721026449,0.9308206410908308
0.7263104319572449,0.8226667101319108,0.899783227466927,0.8994031937526298,29,25109,,,,
,,,,29,25109,0.5687276124954224,0.8694577796675013,0.9292746368627677,0.933070507750892
0.7347521781921387,0.8245059480483711,0.9010910497801763,0.8989365551578292,30,25946,,,,
,,,,30,25946,0.5651073455810547,0.8692339894008075,0.9291651526762218,0.9329137611735362
0.7254470586776733,0.8248632879356631,0.9012252698783906,0.8999729594472581,31,26783,,,,
,,,,31,26783,0.5580804347991943,0.871581758322229,0.930527153376867,0.934616395933878
0.7302930355072021,0.8243749432244012,0.9008945677600761,0.8988203261046565,32,27620,,,,
