val_loss,val_mIoU,val_F1,val_OA,epoch,step,train_loss,train_mIoU,train_F1,train_OA
0.48663434386253357,0.8381903489749689,0.9102858522134814,0.9219073490891552,16,2566,,,,
,,,,16,2566,0.6626951694488525,0.7720105437232674,0.868602841962864,0.888876523941459
0.4826611876487732,0.834037375107255,0.9076016192757221,0.9247691952099498,17,2717,,,,
,,,,17,2717,0.6507440805435181,0.7761039521483687,0.8711882774713866,0.8917633437756317
0.5124597549438477,0.8324167641918239,0.9072263786496547,0.9176719655046057,18,2868,,,,
,,,,18,2868,0.6425577402114868,0.7789443549259477,0.8730759479389582,0.8934376822863205
0.4895147979259491,0.8364654158240151,0.9094161427712045,0.9223119288287979,19,3019,,,,
,,,,19,3019,0.6417233347892761,0.7842870752940492,0.8766512333961334,0.8954411758121315
0.48463982343673706,0.8417472761454203,0.9125963681110465,0.9228341735993545,20,3170,,,,
,,,,20,3170,0.6361058950424194,0.7856897519133208,0.8776299526658257,0.895834790279399
0.5000270009040833,0.8368829248240359,0.9094170892326187,0.921346820705201,21,3321,,,,
,,,,21,3321,0.6272025108337402,0.7893629010862471,0.8800814361579462,0.8978952107270651
0.4976751208305359,0.8388100511833023,0.9106726398819566,0.9199114506924846,22,3472,,,,
,,,,22,3472,0.6243416666984558,0.7930724759256608,0.8824217373903146,0.8998479622993499
0.512332022190094,0.8427084540489037,0.9130233336151485,0.9224410099164114,23,3623,,,,
,,,,23,3623,0.6231589317321777,0.7937452660166117,0.8828176843964316,0.9007752308633324
0.47864729166030884,0.8399921380399575,0.9112929095302622,0.9226683221895804,24,3774,,,,
,,,,24,3774,0.6176404356956482,0.7959575726749569,0.8841963511905961,0.9024525291985631
0.5135270953178406,0.8325183962882978,0.9065063336569563,0.9184855055637876,25,3925,,,,
,,,,25,3925,0.6038628220558167,0.7997553347850246,0.8866365674046527,0.9034267185731416
0.4915790259838104,0.8358292159652836,0.9088583959466628,0.9218671274010156,26,4076,,,,
,,,,26,4076,0.5972943902015686,0.8040776748713799,0.889449589786605,0.9063181134029874
0.505316436290741,0.8399628159244367,0.9114600930803318,0.9211645620325422,27,4227,,,,
,,,,27,4227,0.6103810667991638,0.8033120125938915,0.8889913698927282,0.9052021788185463
0.5365908741950989,0.8332187829730062,0.9073268900662329,0.9161429041800447,28,4378,,,,
,,,,28,4378,0.5968210697174072,0.8053823482701669,0.890257218847416,0.9075548334108307
0.532206654548645,0.8421628602535713,0.9129134073817026,0.9202070203651299,29,4529,,,,
,,,,29,4529,0.5891425609588623,0.8064568881715155,0.8909129619965832,0.9079005986404557
0.5296652913093567,0.8361156350804301,0.9089773959431937,0.9182937423602021,30,4680,,,,
,,,,30,4680,0.5959472060203552,0.8095779290171633,0.8929073419312494,0.9096586737092869
0.4976610541343689,0.842209863308289,0.912773054463362,0.9217536305582456,31,4831,,,,
,,,,31,4831,0.5799810290336609,0.8122408791103745,0.8945782050408365,0.9110700626828832
0.4966100752353668,0.8384000511645879,0.9103215396806966,0.9208785499887616,32,4982,,,,
,,,,32,4982,0.5836846828460693,0.8139918076159871,0.8957552045985727,0.9110597883307765
0.5058940052986145,0.8407074461784789,0.9120149479360002,0.921229899045421,33,5133,,,,
