val_loss,val_mIoU,val_F1,val_OA,epoch,step,train_loss,train_mIoU,train_F1,train_OA
0.9423083066940308,0.7323633479252349,0.8398342106508165,0.8240450111682515,0,417,,,,
,,,,0,417,1.6028926372528076,0.62390724464696,0.7661641936284422,0.7696461789329668
0.8078187704086304,0.7738248378372157,0.8696606255489021,0.8630502837861512,1,835,,,,
,,,,1,835,1.2565152645111084,0.7179774307368273,0.8343568535033995,0.8251900811133569
0.8118642568588257,0.7693689896983186,0.866389086064617,0.8626314317731247,2,1253,,,,
,,,,2,1253,1.1576642990112305,0.744957785481005,0.8524345379173333,0.8446178368933357
0.7975602149963379,0.7776962566448764,0.8721132528787457,0.8652049160949596,3,1671,,,,
,,,,3,1671,1.0917041301727295,0.7594380202341829,0.8618168378948043,0.8578210486232961
0.7870411276817322,0.7663520843592726,0.8646995104208125,0.864601523746171,4,2089,,,,
,,,,4,2089,1.054032325744629,0.7724921824723062,0.8700902035660784,0.8663519459208135
0.7841802835464478,0.7785812027476009,0.8730371042910271,0.8685125541533122,5,2507,,,,
,,,,5,2507,1.0243679285049438,0.7794950602025128,0.8745734352202117,0.8719530368971213
0.7509424090385437,0.787203426062852,0.8784470486239522,0.8741996906034657,6,2925,,,,
,,,,6,2925,0.9839945435523987,0.7894781601873411,0.8807402666930833,0.8796814524486499
0.7795218229293823,0.7801780895535058,0.873102910975508,0.870031525898133,7,3343,,,,
,,,,7,3343,0.9522384405136108,0.7997320998716189,0.8872046510420871,0.8862616404536717
0.7356883883476257,0.7990037827072991,0.8854219141957567,0.8836344046681244,8,3761,,,,
,,,,8,3761,0.9306581020355225,0.8076984221976996,0.8920793104879691,0.8912876064023971
0.7514345645904541,0.7934613452840954,0.8822249064618395,0.8765526507687074,9,4179,,,,
,,,,9,4179,0.9110715389251709,0.813608928607532,0.895839543267899,0.8948742551848307
0.7637155055999756,0.790805466420969,0.8802606701866766,0.87461223708985,10,4597,,,,
,,,,10,4597,0.8960817456245422,0.8166124962568684,0.8976543863069294,0.8981874413958603
0.7514180541038513,0.7953297495579096,0.8832539635475808,0.8802068092552757,11,5015,,,,
,,,,11,5015,0.884611964225769,0.8196605467741904,0.8994150447972105,0.9004216594372766
0.7498409748077393,0.7957253224309138,0.8834587104725553,0.8787435715949363,12,5433,,,,
,,,,12,5433,0.8837462663650513,0.8205336334278318,0.8999960318922582,0.9008243407428744
0.7612994909286499,0.794930662466393,0.8829812260824967,0.8780440432402886,13,5851,,,,
,,,,13,5851,0.8767850399017334,0.8225009399238387,0.9012270142120743,0.9020912033717811
0.759635329246521,0.7916416621165826,0.8809385111025186,0.8770710920156066,14,6269,,,,
,,,,14,6269,0.869825541973114,0.8254270380361104,0.9030390360459603,0.9038464801304106
0.8016308546066284,0.75772242083298,0.8603841819920393,0.8577214620613622,15,6687,,,,
,,,,15,6687,0.9489312767982483,0.8018788165837917,0.8887123487836164,0.8873602130575992
0.8324130773544312,0.7593479576177387,0.8609407252115684,0.8526371170306125,16,7105,,,,
,,,,16,7105,0.929567813873291,0.8071575042670565,0.8919259188644126,0.8912317007077206
0.777310848236084,0.7855917515690265,0.8775056190242619,0.8704606952762292,17,7523,,,,
,,,,17,7523,0.9163687825202942,0.8125820204838362,0.8952500455284891,0.8940144458723895
0.7559052109718323,0.7922733658312465,0.8807937456248739,0.8796300440028849,18,7941,,,,
,,,,18,7941,0.8916766047477722,0.8178487296668614,0.8983776474537916,0.8983088535099828
0.7322983741760254,0.8009035280558365,0.88643291746929,0.884269282331153,19,8359,,,,
,,,,19,8359,0.886703372001648,0.8208375399036008,0.9002969859729717,0.9001455289827723
0.7827025055885315,0.784484852673609,0.8762918141566212,0.872376123834754,20,8777,,,,
,,,,20,8777,0.8783287405967712,0.8237892342513566,0.9021362226583476,0.9015388715748104
